source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[biological replicate]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[instrument]	comment[platform]	comment[panel name]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
PAD000055-3759_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3759	1	study sample	blood plasma	PAD000055-r00001-3759_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3850_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3850	2	study sample	blood plasma	PAD000055-r00002-3850_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3680_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3680	3	study sample	blood plasma	PAD000055-r00003-3680_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3714_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3714	4	study sample	blood plasma	PAD000055-r00004-3714_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3746_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3746	5	study sample	blood plasma	PAD000055-r00005-3746_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3497_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3497	6	study sample	blood plasma	PAD000055-r00006-3497_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3561_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3561	7	study sample	blood plasma	PAD000055-r00007-3561_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3908_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3908	8	study sample	blood plasma	PAD000055-r00008-3908_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3651_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3651	9	study sample	blood plasma	PAD000055-r00009-3651_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
PAD000055-3563_NC20_403	Homo sapiens	blood plasma	not available	not available	not available	adult	3563	10	study sample	blood plasma	PAD000055-r00010-3563_NC20_403	protein expression profiling by antibody array	1	NICOE_npx.parquet	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2026/09/PAD000055/NICOE_npx.parquet	NT=Olink platform;AC=PRIDE:0000654	Olink Explore HT	Explore HT	NPX	nicoe run 1 plate 1	Intensity	Explore_HT	Olink Explore HT	Intensity	v1.1.0	NT=sdrf-skills;VV=v0.0.0	NT=affinity-proteomics;VV=v1.0.0	NT=human;VV=v1.1.0
